Pontuation ID,Total Points,Média do Dividend Yield nos últimos 5 anos > 0.06 (5%),Mediana do Dividend Yield nos últimos 5 anos > 0.06 (5%),Dividend Yield Atual > 0.06 (6%),Dívida Bruta/Patrimônio < 0.5 (50%),Pagamento constante de dividendos nos últimos 5 anos,Dividendos crescentes nos últimos 5 anos,0 < Payout < 1,Preço Atual < Preço Máximo,Segmento válido
GNDI3,-2,2,2,-1,-1,-1,1,-1,1,-4
DMMO3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
FRIO3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
ENAT3,-2,2,2,-1,-1,-1,1,-1,1,-4
APER3,1,2,2,-1,2,-1,1,-1,1,-4
SYNE3,-4,2,2,-1,-1,-1,-1,-1,1,-4
MRVE3,-4,2,2,-1,-1,-1,-1,-1,1,-4
PLAS3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
SQIA3,-2,2,2,-1,-1,-1,1,-1,1,-4
GUAR3,-4,2,2,-1,-1,-1,-1,-1,1,-4
LINX3,-2,2,-1,-1,2,-1,1,-1,1,-4
HETA3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
CSNA3,-2,2,2,-1,-1,-1,1,-1,1,-4
CLSA3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
MTIG4,-7,-1,-1,-1,2,-1,1,-1,-1,-4
JBSS3,-2,2,2,-1,-1,1,-1,-1,1,-4
MAPT4,-7,-1,-1,-1,2,-1,1,-1,-1,-4
TOYB3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
MAPT3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
RCSL3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
HAPV3,-2,2,-1,-1,2,-1,1,-1,1,-4
LWSA3,1,2,2,-1,2,-1,1,-1,1,-4
AURE3,9,2,2,2,2,-1,1,-1,1,0
OMGE3,-5,-1,-1,-1,-1,-1,1,-1,-1,0
BIOM3,-10,-1,-1,-1,-1,-1,1,-1,-1,-4
CRFB3,-2,2,2,-1,-1,1,-1,-1,1,-4
RNEW4,-5,-1,-1,-1,-1,-1,1,-1,-1,0
AMBP3,3,2,2,-1,-1,-1,1,-1,1,0
RNEW3,-5,-1,-1,-1,-1,-1,1,-1,-1,0
RNEW11,-5,-1,-1,-1,-1,-1,1,-1,-1,0
SEER3,-7,2,-1,-1,-1,-1,-1,-1,1,-4
PTBL3,-2,2,2,-1,-1,1,-1,-1,1,-4
MODL3,6,2,2,-1,2,-1,1,-1,1,0
TPIS3,-7,2,-1,-1,-1,-1,-1,-1,1,-4
LVTC3,-2,2,-1,-1,2,-1,1,-1,1,-4
MODL11,3,2,-1,-1,2,-1,1,-1,1,0
CASH3,-2,2,-1,-1,2,-1,1,-1,1,-4
CBEE3,3,2,2,-1,-1,-1,1,-1,1,0
MNDL3,-10,-1,-1,-1,-1,-1,1,-1,-1,-4
TEND3,-7,2,-1,-1,-1,-1,-1,-1,1,-4
PCAR4,-12,-1,-1,-1,-1,-1,-1,-1,-1,-4
GBIO33,-7,-1,-1,-1,2,-1,1,-1,-1,-4
SEDU3,-10,-1,-1,-1,-1,-1,1,-1,-1,-4
TESA3,-10,-1,-1,-1,-1,-1,1,-1,-1,-4
RCSL4,-7,-1,-1,-1,2,-1,1,-1,-1,-4
ALPK3,-10,-1,-1,-1,-1,-1,1,-1,-1,-4
ZAMP3,-5,2,-1,-1,-1,-1,1,-1,1,-4
MGLU3,-7,2,-1,-1,-1,-1,-1,-1,1,-4
SIMH3,0,2,2,-1,-1,1,1,-1,1,-4
ECPR4,-7,-1,-1,-1,2,-1,1,-1,-1,-4
NORD3,-7,-1,-1,-1,2,-1,1,-1,-1,-4
COGN3,-12,-1,-1,-1,-1,-1,-1,-1,-1,-4
